"","baseMean","log2FoldChange","lfcSE","pvalue","padj","label"
"SLC16A10",96.3721834895167,-5.82231720565679,0.468999867298247,1.48924735778356e-35,3.50190659592072e-33,"SLC16A10"
"TRAJ47",3.89999950692544,-5.8166083368587,2.61079884325284,3.47615938236433e-05,0.00024298284420214,"TRAJ47"
"LOC105370363",11.4864610206954,-5.80355928404987,1.41992451031464,2.74973227954178e-07,3.0192233549974e-06,"LOC105370363"
"FAM153CP",60.8306170281405,-5.78668628347152,0.64799045074522,1.20198898212649e-19,7.35532906957405e-18,"FAM153CP"
"FAM184A",17.6681105740862,-5.78302864190055,1.0511173066358,7.6006455307448e-09,1.11547201730314e-07,"FAM184A"
"UMODL1",3.78228924694469,-5.7573743327539,2.61349116629662,4.47868250470126e-05,0.000303923046233424,"UMODL1"
"TRAJ20",4.0479151214775,-5.73853495128244,2.70724363282392,0.00010837119411447,0.00067379451884362,"TRAJ20"
"MAGI2-AS3",32.5253219301292,-5.73527003784521,0.964878957332428,5.80417323481383e-10,1.01989703995116e-08,"MAGI2-AS3"
"PTPRO",10.5381263004155,-5.72015160797489,1.36193276027887,1.33948975594346e-07,1.55565158781269e-06,"PTPRO"
"SUSD4",25.781831309524,-5.71726322550398,1.09772082441471,2.65212565590517e-08,3.53977587543262e-07,"SUSD4"
"LINC02594",16.7013289402269,-5.70736470177519,1.01857251306285,4.56414054635752e-09,6.92663766165121e-08,"LINC02594"
"SOAT2",43.4408454224038,-5.69873257656316,0.66493975942829,5.62852508658684e-18,2.8730188539534e-16,"SOAT2"
"TRBV12-3",49.1368862910825,-5.68971219884224,0.609713402139921,7.32877520636712e-21,4.93172371443251e-19,"TRBV12-3"
"TRAJ29",3.90547148996687,-5.6784601237251,2.71530140343472,0.00013832072004894,0.000837366511190113,"TRAJ29"
"TRAJ26",3.67461936455356,-5.67324552893161,2.62582102252086,6.67596332913956e-05,0.000434165818993886,"TRAJ26"
"TMEM272",50.3628718011126,-5.67237316355783,0.746129462525421,6.25734726217923e-15,2.15384479445538e-13,"TMEM272"
"ECRG4",9.9156228858478,-5.65934924118704,1.3422806952341,1.23795786389313e-07,1.44818234631389e-06,"ECRG4"
"TRAJ7",4.04940432528965,-5.65382643789351,2.76982266560037,0.000206983855548981,0.00119661826765996,"TRAJ7"
"TRAJ38",3.62150426795817,-5.64484743199651,2.62684589294679,7.40892508812646e-05,0.000476942430773026,"TRAJ38"
"ICOS",316.477385306542,-5.64249664336707,0.3982150192488,9.15979507358285e-47,3.83392382599884e-44,"ICOS"
"EDA",50.4160439188726,-5.63653243207734,0.701718484974175,1.32019258796235e-16,5.65010030283762e-15,"EDA"
"LOC107984781",16.1546176639321,-5.63286401384229,1.04392643695683,1.28412162501001e-08,1.80484199920816e-07,"LOC107984781"
"BTLA",41.7548496334788,-5.61717858759578,0.72627550332396,3.16782801970027e-15,1.14898275210203e-13,"BTLA"
"KDF1",15.9514822694242,-5.61059056337703,1.03987193206445,1.23269413873013e-08,1.74074378780999e-07,"KDF1"
"MCOLN3",11.2377954432633,-5.58005543045424,1.64718688047348,1.16394545689181e-05,9.18516233854898e-05,"MCOLN3"
"ZC3H12D",261.704436032896,-5.55869183005449,0.382298192530973,3.50687101593291e-49,1.70678596794056e-46,"ZC3H12D"
"BLK",93.0362134256036,-5.55852538762206,0.589997143219396,2.58286874929425e-22,2.02450476349176e-20,"BLK"
"TRBV5-6",32.8447903187352,-5.53301936224679,0.738880532813275,3.65876386398209e-14,1.13606246506554e-12,"TRBV5-6"
"TRAV27",15.3048860788851,-5.52784024581143,1.06669761410303,3.47848552391876e-08,4.52440926318035e-07,"TRAV27"
"SIAH3",3.3892124533445,-5.51033142242765,2.6049793263433,9.16297575839059e-05,0.00057951875694046,"SIAH3"
"RAI2",9.19732778073896,-5.50968598782154,1.35413697211133,3.04613017169206e-07,3.32096364117229e-06,"RAI2"
