"","baseMean","log2FoldChange","lfcSE","pvalue","padj","label"
"TNFRSF10D",41.4293514842457,-3.68526073674086,0.532036506123494,5.46797225667812e-13,1.46147794875811e-11,"TNFRSF10D"
"HYKK",5.12523767414177,-3.68198497982523,1.20041870758934,0.000256287982161881,0.00144610269363274,"HYKK"
"CD27",415.294778564588,-3.68103203228046,0.238489305065535,8.38077099559427e-55,5.31493258775142e-52,"CD27"
"CD101-AS1",8.91511540976049,-3.67835468904162,1.02638714972637,4.41613644495246e-05,0.000300555783804765,"CD101-AS1"
"ME1",43.6133730224974,-3.66947145832731,0.901413886155119,3.00243352409624e-06,2.72137773288548e-05,"ME1"
"DPY19L2",90.2674596815233,-3.65903164969722,0.427972617136661,8.70835366334712e-19,4.77090119022326e-17,"DPY19L2"
"GCSAM",61.1581602914227,-3.65091131362197,0.3924860280503,9.34927819846155e-22,6.98791764776441e-20,"GCSAM"
"MYB",83.148793509543,-3.64991990652379,0.507448071647809,3.08484349984755e-14,9.67910116413936e-13,"MYB"
"ISM1",8.89206134290709,-3.64962684822743,1.01412579438729,3.89773553563142e-05,0.000268770376572305,"ISM1"
"TMEM108",2.00462532855689,-3.64523039942656,3.12519140762184,0.00621277519035015,0.023077912528159,NA
"EPHB4",231.496834152142,-3.64127340619577,0.336302476398694,2.63373097758745e-28,3.69924308046646e-26,"EPHB4"
"ADAM12",64.9854088483351,-3.64005719002069,0.816076601213343,3.37463376442835e-07,3.65172365160065e-06,"ADAM12"
"LOC102723373",10.8171025081303,-3.63719283445588,0.88997191806608,4.54931339441395e-06,3.92610435951733e-05,"LOC102723373"
"RGS10",518.216364327596,-3.63373893393803,0.316911974973573,1.83423310291232e-31,3.55433614608787e-29,"RGS10"
"KIF5C",124.506105135933,-3.63120070693041,0.464103811216909,3.87201998799591e-16,1.59515028166887e-14,"KIF5C"
"MIR4539",1.81032117594706,-3.6222690805583,2.90525461005148,0.00536464997368175,0.0203730552682229,NA
"C12orf42",33.5276214926612,-3.60704268600479,0.696942855130224,2.23961832507245e-08,3.02133466626436e-07,"C12orf42"
"EFHD1",15.7409234571276,-3.60410989698592,0.809183975131898,4.25045204161855e-07,4.51999290279436e-06,"EFHD1"
"DBNDD1",6.80196059035023,-3.60193802645596,0.976179013357308,3.15091861285911e-05,0.000222177980895942,"DBNDD1"
"PLEKHG5",124.650143627087,-3.60168648677675,0.280446781491403,1.41933083756144e-38,4.01402104979539e-36,"PLEKHG5"
"OR2A1-AS1",18.0370432297272,-3.60139728267057,0.564565890981053,3.13111910733331e-11,6.66482048745319e-10,"OR2A1-AS1"
"LINC02520",30.2784739007531,-3.59957205304559,0.960073504246074,6.82435502464052e-06,5.65848264483664e-05,"LINC02520"
"TRAJ45",5.45835586272597,-3.59473152964856,1.23909122454192,0.000288187418800494,0.00160403890974913,"TRAJ45"
"COL5A1",53.0369609589143,-3.59294300046042,1.35472422012355,0.000302490479486854,0.00167076293341274,"COL5A1"
"TRAJ13",5.0991171872142,-3.59241506698663,1.24100749006422,0.000383694231840291,0.0020642552400909,"TRAJ13"
"LOC107985220",1.85791389794514,-3.58794962711383,2.98292531476407,0.00584957658129115,0.0219233414565296,NA
"MSC",31.9302839239809,-3.58451708861423,0.973811272544573,1.43951412769746e-05,0.000110959192563515,"MSC"
"TMIE",12.0672831448192,-3.57644375668579,0.87504874341862,4.5232070947527e-06,3.91002387769452e-05,"TMIE"
"LOC105372726",3.27997614515306,-3.56491694769721,1.53056972468954,0.000727954344836871,0.00364639265886693,"LOC105372726"
"NR3C2",418.567290930691,-3.55553978630856,0.227712212772133,4.88137035488289e-56,3.19241621209341e-53,"NR3C2"
"TMPRSS3",14.1964240621414,-3.5489491108504,0.647177407092059,7.36059402236767e-09,1.08480642042331e-07,"TMPRSS3"
"PNMA8A",10.181867573281,-3.53518127706031,1.94683520713204,0.00117242005511567,0.00553494403642244,"PNMA8A"
"CD40LG",31.6834634947685,-3.53238210875347,0.703122602143913,3.18314805845152e-08,4.16616151139921e-07,"CD40LG"
"PLEKHA7",41.4416159822105,-3.52878283012043,0.666455923397739,9.58660868172332e-09,1.38269156782292e-07,"PLEKHA7"
"MPP2",22.1683143045119,-3.52149498985596,0.667328358054601,9.63410399459125e-09,1.38762923880802e-07,"MPP2"
"VSIG2",3.3065341319228,-3.51784956510926,1.58147755270739,0.000963059758347319,0.00466117359451728,"VSIG2"
"ECE1-AS1",21.8774427197839,-3.51131504275526,0.507550429109307,6.78775316729121e-13,1.79815314284899e-11,"ECE1-AS1"
"LOC102724183",1.82429481815417,-3.51001938777356,3.05762374416445,0.00662850517334491,0.0243464279581776,NA
"MID2",146.731076223005,-3.50713014068986,0.332586964971587,3.4074423373449e-27,4.21958303171326e-25,"MID2"
"LYPD3",142.670456795422,-3.50687246882456,0.309660693115177,6.1725729314011e-31,1.09474242634205e-28,"LYPD3"
"LOC107984618",1.9974712946065,-3.50467759957798,3.30230111535889,0.00746861581113407,0.0269581220585398,NA
"TRAJ42",7.97419703965165,-3.49264926281808,0.87282554538482,9.48937762093971e-06,7.62941586058495e-05,"TRAJ42"
"CCR6",39.2377351249904,-3.46257063291967,0.658876549093361,1.07058240442665e-08,1.53249990149391e-07,"CCR6"
"PDE3B",1965.06362607399,-3.45379392599734,0.220170663773308,1.3161759652183e-56,8.88546148389953e-54,"PDE3B"
"SNN",759.419079595315,-3.45224422272103,0.349135374326323,4.31829354992153e-24,4.08928721324696e-22,"SNN"
"KIF5C-AS1",2.15297626070432,-3.44949854078651,3.51100671562589,0.0079537119409492,0.0284101866359763,NA
"PDGFB",35.0595151022519,-3.44279036012562,0.576671076743627,1.72027785917392e-10,3.26993415411369e-09,"PDGFB"
"GP5",45.4668801672864,-3.43019827109385,0.537604369397243,9.49153827325432e-12,2.16854708496361e-10,"GP5"
"TRAJ57",3.1802301487913,-3.42412936697647,1.6147726888419,0.00128719002791093,0.00600899239440553,"TRAJ57"
"HID1",70.3997978485479,-3.41900086179307,0.318512878103367,7.47265649388263e-28,1.00895325873533e-25,"HID1"
"ST6GALNAC1",1.7216199287799,-3.41394437020669,3.01777992603687,0.00694856039883458,0.0253653361288697,NA
"HTR6",7.03735362657543,-3.41338846534583,1.32227118481188,0.0007069752590617,0.00355577462668668,"HTR6"
"TRBV20OR9-2",1.71460835037045,-3.40834682674785,3.01552259661679,0.00697341922893363,0.0254383332095386,NA
"TRAJ3",4.86780771333003,-3.39879973309039,1.22538374366659,0.000460888147283656,0.00242714321750185,"TRAJ3"
"ADAMTS6",35.4269363592278,-3.38626083601133,0.522479260172133,1.16496152545987e-11,2.62718909534743e-10,"ADAMTS6"
"LGALS3BP",311.170890725549,-3.37961565282095,0.183238825027241,5.40029651918837e-77,1.02743095957795e-73,"LGALS3BP"
"ANKRD31",18.342738479069,-3.3695597501757,0.815778625567063,3.14369383009707e-06,2.83950040898884e-05,"ANKRD31"
"COPG2IT1",5.70985715809649,-3.35151446394818,1.02892753083452,0.000154979801228665,0.000925368696180742,"COPG2IT1"
"ACTN1",1116.81161546201,-3.34894965721869,0.461728547580863,2.89394830739151e-14,9.1211671953448e-13,"ACTN1"
"CD79A",92.629541989596,-3.34002622480485,0.475514044061125,1.05477886186386e-13,3.11345726672593e-12,"CD79A"
"ZNF890P",37.8556439266946,-3.33175130075324,0.561986219133014,2.46489045370294e-10,4.58128129796583e-09,"ZNF890P"
"IATPR",6.15093996041463,-3.32701906094392,1.08273200234628,0.000207534751233467,0.00119947176852085,"IATPR"
"CCR4",61.5643373082681,-3.29518212717935,1.91416215489757,0.00190832095487527,0.00845635274926323,"CCR4"
"LOC101927200",3.464061257831,-3.29507996389362,1.83378025947534,0.00240916691131424,0.0103508612440945,NA
"MMRN2",37.7813717741185,-3.27576550390769,0.427826036732969,1.3328413244716e-15,5.07763004995165e-14,"MMRN2"
"SH3RF3-AS1",14.3623572280331,-3.26973232287924,0.663015946567831,7.28122327013283e-08,8.95308111617743e-07,"SH3RF3-AS1"
"ASAP3",12.8690893672501,-3.26410895688761,0.725548903949377,6.53000403318065e-07,6.71547540080612e-06,"ASAP3"
"HKDC1",31.9847899979154,-3.26107745714081,0.871282069170566,6.63591803772223e-06,5.51534919354452e-05,"HKDC1"
"OR2A9P",11.4270648242171,-3.26034463096507,0.771833731333175,2.3946951603371e-06,2.21068285467732e-05,"OR2A9P"
"PLAG1",143.459014660092,-3.25914386072759,0.300755417851287,1.52752080885222e-28,2.28342539197566e-26,"PLAG1"
"LINC00659",7.87856724819343,-3.23718915028821,1.2210731980369,0.000599789125691687,0.00307355211128199,"LINC00659"
"LAMP3",39.077659210451,-3.23462969073644,0.528587353713887,1.01467425378195e-10,1.99016895812078e-09,"LAMP3"
"LOC107985242",4.74071423656585,-3.2345693127464,1.45485629375272,0.00183111820273109,0.00817266831877934,"LOC107985242"
"MEST",70.8780624909479,-3.23362491046203,0.340899199460844,3.14754563139431e-22,2.42175863874339e-20,"MEST"
"TRAJ8",1.71571262814311,-3.23115521405109,3.1740677793795,0.00834038668187086,0.0294943583099347,NA
"OR2A20P",12.1106569649051,-3.21781900016673,0.699174772270192,4.91991891375721e-07,5.1740735189503e-06,"OR2A20P"
"CRB3",20.5940519102562,-3.21497125050878,0.542808149871021,4.30328868587212e-10,7.69079638069442e-09,"CRB3"
"LOC107984335",11.3087569326108,-3.20320092974214,0.81626834159381,7.56313286838807e-06,6.22664219786096e-05,"LOC107984335"
"COL6A1",204.769973229039,-3.20239279932518,0.572325687880565,1.15434780126758e-09,1.92802799560477e-08,"COL6A1"
"LINGO4",3.60696072543478,-3.19707425492249,1.75508181217022,0.0016595957958938,0.00748534931389342,"LINGO4"
"TNNC1",13.8048116072324,-3.19588563040005,0.730260372081441,1.08232534590167e-06,1.06944782053966e-05,"TNNC1"
"POU5F1B",9.25501270934838,-3.19457521028527,0.766850010025139,4.18585547189931e-06,3.63945090635267e-05,"POU5F1B"
"ESPNP",14.3571832218235,-3.19443677785248,1.09439267535234,0.000213934230581966,0.00123135741958729,"ESPNP"
"TJP3",54.1844012387892,-3.18818285630024,0.341201401449403,1.20010027211959e-21,8.81252578769077e-20,"TJP3"
"ITGA1",23.7679229069195,-3.18777401326783,0.847292462543672,1.07461601594921e-05,8.54142194522791e-05,"ITGA1"
"RBM11",77.3748897281127,-3.1807270365648,0.465886117582735,7.05376652154295e-13,1.86155391882536e-11,"RBM11"
"GPRC5B",4.09420376743996,-3.17595491292547,1.27664431975613,0.00123360240285785,0.00579140218910599,"GPRC5B"
"CDC42BPB",61.2900123999591,-3.16852638038206,0.420289748475347,4.2067701713979e-15,1.4998174812098e-13,"CDC42BPB"
"IGFBP3",35.9031723555223,-3.16170858168471,0.53016187396459,1.38153788934053e-10,2.65498851681529e-09,"IGFBP3"
"MVB12B",423.570854424975,-3.16108896970752,0.435128819818882,2.54230533230605e-14,8.04922329720136e-13,"MVB12B"
"DYNLT4",35.3485490903064,-3.13555754887276,0.548116788519275,8.29825153768689e-10,1.42465798343488e-08,"DYNLT4"
"STMN3",1279.8234558157,-3.13083501849311,0.259262610577985,1.06843071657363e-34,2.40431376736052e-32,"STMN3"
"IL36A",1.98844313080447,-3.12802058211529,3.89354822059483,0.0100736868590971,0.0344765500453061,NA
"CALY",8.27738891670377,-3.12252969835922,1.07407557876473,0.000194262688876751,0.00113309073378279,"CALY"
"USP2",17.8943680431639,-3.12238911987245,0.813852165694937,9.22721708693333e-06,7.42434445195466e-05,"USP2"
"MB21D2",20.2636151616592,-3.12176479298295,0.615726638400619,3.98670929472027e-08,5.13123321770638e-07,"MB21D2"
"LOC388436",3.86220331527006,-3.12072468585729,1.22240440984906,0.00112255284151157,0.00532474747668952,"LOC388436"
"ACER1",24.1652013186926,-3.11166847786105,0.529269029703395,5.35836781088891e-10,9.47928330906873e-09,"ACER1"
"PLK3",1451.57689582388,-3.10224338684187,0.362896008626777,9.14013757835466e-19,4.99438118119599e-17,"PLK3"
"TRGV2",64.332211345726,-3.09856589924658,0.438757506027974,1.02437181149241e-13,3.03225647396225e-12,"TRGV2"
"SYT3",6.30830553768063,-3.0964651513217,0.970928198319847,0.000183587077940749,0.00107773081827321,"SYT3"
"C3orf52",18.2744469171004,-3.09201368370155,0.538627116149063,1.16510627315125e-09,1.94289594298879e-08,"C3orf52"
"GNA11",29.0936172129212,-3.08633567953956,0.444128886303488,3.8814653188782e-13,1.06883297623004e-11,"GNA11"
"LRRC7",18.9411652283058,-3.0858102631615,0.683125081504621,4.09604825945716e-07,4.36689240824857e-06,"LRRC7"
"CEBPE",2.75651902559637,-3.08531266798803,1.64413120920293,0.00236599419919991,0.0101876132746756,NA
"ACSL6",161.944237248429,-3.08368054147837,0.302390380696246,3.19016652171737e-25,3.45926450603633e-23,"ACSL6"
"TRAJ1",1.77564733299522,-3.0811259726968,3.54507751432258,0.0100064251623033,0.0342908900927925,NA
"ERBB3",14.135857044339,-3.0731555622758,0.690038386248132,7.27009706182919e-07,7.43639253714376e-06,"ERBB3"
"LINC02273",107.646507062482,-3.07019978581569,0.429514350883713,7.0809795606504e-14,2.12917730237488e-12,"LINC02273"
"BIRC7",13.0665370993029,-3.06624538952766,1.09568690721442,0.000246283402076215,0.00139567263434905,"BIRC7"
"STXBP1",64.8483588912746,-3.06204570916957,0.360274926798349,1.15779237565956e-18,6.24491722623797e-17,"STXBP1"
"LOC105374339",3.1288529602886,-3.05509124819924,1.83953860242025,0.00328644913281062,0.0135019252947508,NA
"TRPM5",6.289581555202,-3.04815252606756,0.989684397000221,0.000240081612211868,0.00136200270544049,"TRPM5"
"LPAR3",7.48540449020645,-3.0465058268459,0.939465845237377,0.000132984095650567,0.000808803008943643,"LPAR3"
"LOC112268446",15.1530682098926,-3.03145261534106,0.662851006625124,5.85378238438418e-07,6.06174951709016e-06,"LOC112268446"
"IGHV4-34",3.25222586816079,-3.03088754689868,2.01956203279415,0.00461150417428253,0.018002156194625,NA
"LOC105378690",16.4628636913135,-3.02747997526948,0.618726823389436,1.13496325128043e-07,1.34119203403709e-06,"LOC105378690"
"TAF4B",147.610972559595,-3.02296872732606,0.362896121802016,8.02871613363871e-18,4.0197361541816e-16,"TAF4B"
"BFSP2-AS1",8.75052567845567,-3.01902768267542,0.913874012428955,9.34395803540246e-05,0.000589717592777149,"BFSP2-AS1"
"IL6ST",1900.82728909378,-3.0177188359191,0.246657775698932,1.65730882049462e-35,3.85379544392349e-33,"IL6ST"
"DGKH",199.169277815986,-3.01582176386476,0.426903994758132,1.31951997509984e-13,3.84608830625201e-12,"DGKH"
"LOC105369747",30.39001048013,-3.01556452239913,0.546381769047876,2.77524102950781e-09,4.38010891896979e-08,"LOC105369747"
"ANK1",42.4832633862588,-3.01295440787916,0.818268128417993,1.57066390195044e-05,0.000120054251789696,"ANK1"
"ADAMTSL5",64.4708205844816,-3.01119080455517,0.522011354579616,4.96529779094608e-10,8.79879357907872e-09,"ADAMTSL5"
"DBN1",269.783635574893,-3.00191693982331,0.218211946403408,3.17478456019308e-44,1.14554984958139e-41,"DBN1"
"RAPGEF4",3.84006342532497,-2.99949574852263,1.34157046354205,0.00216359945084628,0.00941955675209299,"RAPGEF4"
"FOXJ1",40.4196050709826,-2.99671350696232,0.598905723015855,3.29900175503104e-08,4.29897314628205e-07,"FOXJ1"
"LOC107986515",4.66290390321122,-2.99267910644496,1.66265654855263,0.00392164682991387,0.015671610627542,NA
"AGMAT",66.6764802018817,-2.98547561575767,0.324911026770896,2.87986058609491e-21,2.0499905559794e-19,"AGMAT"
"MIR7152",13.4601680267657,-2.98535784584411,0.844340483463696,2.67809208363126e-05,0.00019280051987009,"MIR7152"
"GNB3",10.3978312443868,-2.98517581343563,0.696691806156874,2.38812480642023e-06,2.205590289001e-05,"GNB3"
"MEGF6",828.458915531584,-2.97193229231755,0.44330938039922,1.54962865169643e-12,3.91040351885254e-11,"MEGF6"
"TTC9",229.007731992751,-2.97034815679876,0.294423254253883,3.82712078924477e-25,4.12855586996466e-23,"TTC9"
"SPINT2",263.359104223906,-2.96534128721493,0.504456500905251,3.17930873240946e-10,5.81105442374368e-09,"SPINT2"
"ICOSLG",52.9766245862468,-2.96284778850697,0.470345537422354,2.24213024637207e-11,4.87261700893819e-10,"ICOSLG"
"NEFL",4.78957712407864,-2.95602402820055,1.52671633839443,0.00243108808723985,0.0104343337755856,NA
"DSCAML1",9.98694066892713,-2.94994687180287,0.809408225260859,2.2114591374765e-05,0.000162733533154389,"DSCAML1"
"IL6R",381.632246560598,-2.94971240162547,1.0427364514294,0.000220742688114965,0.00126512945642151,"IL6R"
"LOC102724081",8.52585859141567,-2.94504563092779,0.903229341594992,0.000103128483366779,0.000645996078988312,"LOC102724081"
"LOC100288175",45.0888073916375,-2.94473840680563,0.641105091131944,3.40652867080237e-07,3.68433240426625e-06,"LOC100288175"
"MIR4697HG",65.0210511949491,-2.9259173064301,0.397808481480752,1.70925474679667e-14,5.56318558957399e-13,"MIR4697HG"
"ARHGEF35",19.9599233827466,-2.92328523604698,0.528731966280163,3.52276709698831e-09,5.45299332882924e-08,"ARHGEF35"
"RNF157",777.490706008776,-2.9230223840956,0.270761343567538,3.09326111046869e-28,4.2871369880721e-26,"RNF157"
"RIN1",40.467952742122,-2.91207207708793,0.570361314975035,1.79285847539121e-08,2.46038965068769e-07,"RIN1"
"SUGCT",8.16340263412053,-2.90929028696536,0.8965239070752,0.000119891516246281,0.000737100367803225,"SUGCT"
"CAMK4",1327.15808422368,-2.90321099288375,0.194725938861705,2.24655515170548e-51,1.20553605679211e-48,"CAMK4"
"CGN",11.809478110312,-2.90200693389149,0.649364999930949,1.07683065605222e-06,1.06502419517301e-05,"CGN"
"PMEL",21.5288702666595,-2.8999295669953,0.489610903474427,3.86465866075491e-10,6.96637178744864e-09,"PMEL"
"DNAI3",3.68517929561336,-2.89374268693101,1.35473629946118,0.00274875750879986,0.0115839704277413,NA
"ATP6V0E2-AS1",50.1854786336531,-2.88138120093994,0.454140661102298,1.65506004393061e-11,3.64985211795361e-10,"ATP6V0E2-AS1"
"TSPAN6",11.0090688414101,-2.87447226727369,0.723940839660957,7.82139249134637e-06,6.42158109293436e-05,"TSPAN6"
"SLC13A5",2.58631461419639,-2.87338290505171,1.74995539923127,0.00405183216569023,0.0161425363722759,NA
"MACROH2A2",58.8028253786385,-2.87036138668008,0.387451481760556,7.76467077978929e-15,2.6294341436801e-13,"MACROH2A2"
"SGTB",492.422967178433,-2.86997388907413,0.228865365205732,4.86325252591502e-37,1.24119693734573e-34,"SGTB"
"RGL1",18.4495702766645,-2.86756530054126,0.597014905677552,1.17085973539741e-07,1.37971579630614e-06,"RGL1"
"RNF157-AS1",99.852589294947,-2.85924052281546,0.355484581407631,6.79419409892417e-17,2.99345040215337e-15,"RNF157-AS1"
"LOC112267956",2.58132378150465,-2.85809141141468,1.80328497657565,0.00471224070622998,0.0183168227154497,NA
"LOC107985282",11.2019363678085,-2.85506306392553,0.772382057270088,1.44000939890342e-05,0.000110959192563515,"LOC107985282"
"PHGDH",70.5953562473483,-2.85496670848127,0.418724530821982,1.24874081186148e-12,3.2184295210144e-11,"PHGDH"
"LOC105373289",4.81287095860261,-2.85409532414439,1.16521993402615,0.00129940992932118,0.00605793071972235,"LOC105373289"
"DGKA",3837.79156866405,-2.8493499024935,0.198307843963867,7.23334723376696e-48,3.22084023209096e-45,"DGKA"
"CD84",1120.36646163884,-2.84801830818316,0.427698536025118,2.14554519108649e-12,5.32013859704479e-11,"CD84"
"ARHGEF11",161.607024230519,-2.84762747806279,0.289132951592808,3.38382428097076e-24,3.26344122360166e-22,"ARHGEF11"
"DSEL-AS1",2.79599589141235,-2.84371525000091,1.87881360320852,0.00460989290740774,0.0179998850127925,NA
"CHMP7",1158.62637347718,-2.84141332538074,0.186989972169275,2.83695070146309e-53,1.64921400778388e-50,"CHMP7"
"SESN3",621.960028431796,-2.83950267298103,0.313587130275008,1.19456370931134e-20,7.86158154354332e-19,"SESN3"
"TRDV2",13.2211427199845,-2.82764305166392,1.30171921598527,0.00141035392888792,0.00651133620643425,"TRDV2"
"KCNK5",21.1285988682957,-2.82415120718243,0.657882169398204,1.45345360732965e-06,1.40303861135585e-05,"KCNK5"
"SERINC5",819.809366426624,-2.81679352645322,0.210990697233226,9.67011924748835e-42,3.31764353461371e-39,"SERINC5"
"RHOU",31.7831277368301,-2.81259658225984,0.70038492472332,4.74815711253135e-06,4.08423477398504e-05,"RHOU"
"PCAT1",3.41601142507448,-2.80582409753288,1.30066276320676,0.00282412430085317,0.0118562233436821,NA
"IL17RE",43.8477796757993,-2.80374318538179,0.697475302540277,3.63289600396106e-06,3.20798512957372e-05,"IL17RE"
"CHRM3-AS2",177.155687408905,-2.79888068308309,0.403855794815715,2.93254086058544e-13,8.22683848932066e-12,"CHRM3-AS2"
"DMRTC1",7.59072262399463,-2.79501304845548,0.848669775176944,0.000105024508052701,0.000655713873665549,"DMRTC1"
"TRBJ1-2",56.8397995022988,-2.7924482738287,0.366708902947514,2.14060803413425e-15,7.87322406649588e-14,"TRBJ1-2"
"GABBR1",550.205773232126,-2.78845381048397,0.282329262866459,3.75561681975488e-24,3.60539214696469e-22,"GABBR1"
"TRIP6",47.4995171633531,-2.78621843239869,0.412806437563891,1.67202657724536e-12,4.20074096141547e-11,"TRIP6"
"LGMN",45.2239935149902,-2.78619562150959,0.425726658804379,5.13033165293498e-12,1.2050233539015e-10,"LGMN"
"MCF2L",162.828147312032,-2.7820615943218,0.309780092475011,3.78390232616824e-20,2.37806329976123e-18,"MCF2L"
"CNN3-DT",5.66774845228499,-2.78123722028516,0.997326584903477,0.000539011894959708,0.00279218835091999,"CNN3-DT"
"GSTM3",61.2777574772233,-2.77405862834888,0.814837726781402,3.87697837728434e-05,0.000267427170335553,"GSTM3"
"MYO1C",69.8942369832113,-2.77375844087793,0.39476904333324,2.24600954357444e-13,6.36055314315642e-12,"MYO1C"
"LINC01891",18.6507962327762,-2.77030944176919,0.597736976678686,3.45316136293795e-07,3.73091177096363e-06,"LINC01891"
"SOX8",29.695537477388,-2.76499883178389,0.774966132862959,2.3848475311306e-05,0.000173842177399865,"SOX8"
"TRAJ54",3.3099668594645,-2.76380733819239,1.29995392600842,0.00311891468747352,0.0129074032197144,NA
"TRGJ1",19.2604147975458,-2.763619233867,0.566062538702604,1.09872136532953e-07,1.30351704839096e-06,"TRGJ1"
"SETD7",104.051717638859,-2.76172513468058,0.641895019014665,1.11366000386306e-06,1.09833537044515e-05,"SETD7"
"LOC107985441",3.59159005219054,-2.75341279952001,2.1344523152789,0.00385734007024678,0.0154589071218163,NA
"LOC105371240",2.44118948865107,-2.75262592878812,1.78181076462357,0.00523214371357616,0.0199341532200477,NA
"DMRTC1B",7.37240445158807,-2.75075234225425,0.840858538455201,0.000116207186520295,0.000717187850043275,"DMRTC1B"
"LOC107985085",2.67991729078469,-2.74809411013338,1.89183815277433,0.00524006069792959,0.0199570500975924,NA
"SLC5A4-AS1",10.8256779291241,-2.74680335894976,1.46344370302591,0.00290465106981496,0.012150417267457,NA
"CHCHD10",119.107660285347,-2.74675044804901,0.268776934221696,1.23846490129531e-25,1.36413649759517e-23,"CHCHD10"
"LOC105376689",8.3734505778143,-2.74147686989914,1.15781312365281,0.00123620829995369,0.0058007550003208,"LOC105376689"
"LOC105373204",57.3759442989697,-2.73180309974646,0.35565577379376,1.33443068017651e-15,5.07763004995165e-14,"LOC105373204"
"TOP1MT",243.148743332367,-2.72744889152349,0.242425713812935,2.87417418210592e-30,4.77386645104069e-28,"TOP1MT"
"NKX3-1",65.3228830099328,-2.71511892182653,0.466510000409876,5.59050829493003e-10,9.856626587725e-09,"NKX3-1"
"TSPEAR-AS1",18.2354702819683,-2.71301713056184,0.937786478698688,0.000201541502168621,0.00116967846849276,"TSPEAR-AS1"
"DPP4-DT",14.3356338313613,-2.71283131414538,0.914393166444559,0.000190780247327778,0.00111495364872263,"DPP4-DT"
"AQP7",2.41910129556458,-2.71118950679382,1.71708010855918,0.00460759894112981,0.0179969822023077,NA
"LOC105371468",4.21059491508024,-2.70003780647422,1.11614234286806,0.0016341909539625,0.00738828003554269,"LOC105371468"
"DACT1",20.7556876476988,-2.69688775870937,1.06555628582817,0.000511328562325844,0.00266129921719852,"DACT1"
"PASK",1082.42256087596,-2.68618862208874,0.226806386106979,1.97972261967664e-33,4.14316349845927e-31,"PASK"
"WDR64",2.67682478829982,-2.68320369969535,1.7285114419396,0.00363722280246419,0.0147262137376612,NA
"PDE9A",69.6193185715504,-2.68032919304764,0.464106211939737,7.78814667306937e-10,1.33927965138863e-08,"PDE9A"
"LOC105373977",19.9033881734943,-2.68028246192643,0.563943710151522,1.83354438285789e-07,2.0800207040013e-06,"LOC105373977"
"MAN1C1",368.57658253092,-2.67986390171191,0.318249429401829,3.58331217188511e-18,1.85622666171316e-16,"MAN1C1"
"ZSWIM1",53.9806959209705,-2.67901458534287,0.361651433460194,1.08122651424204e-14,3.5974417313287e-13,"ZSWIM1"
"PEG13",201.096875019429,-2.67666067712682,0.361955805906439,9.52658393020095e-15,3.1950696873597e-13,"PEG13"
"FXYD6-FXYD2",13.045182062996,-2.67387718702349,0.684536648505133,9.0426515829291e-06,7.30213799870757e-05,"FXYD6-FXYD2"
"GNG7",66.5945648217217,-2.66858279829241,0.425507848648123,3.9091426748431e-11,8.18924303294458e-10,"GNG7"
"LINC02298",10.1402375720197,-2.6680766257583,0.719886616853813,2.05394419160646e-05,0.000152374845948033,"LINC02298"
"LOC102723996",39.8590798045269,-2.66341909380164,0.524902675562785,3.23090411422667e-08,4.22602258140848e-07,"LOC102723996"
"GJC2",14.2292763663573,-2.66249847333988,0.54733223110228,1.393696600631e-07,1.61412741881602e-06,"GJC2"
"ZBTB32",28.5374038708842,-2.660447405534,0.586043214038868,4.98774462488173e-07,5.23225661701878e-06,"ZBTB32"
"JAML",683.253242299092,-2.66030767023476,0.688491447163997,7.63656751566526e-06,6.27968899677181e-05,"JAML"
"STPG1",28.4333174239699,-2.65547920381684,0.414060106170528,1.83971952434071e-11,4.04004724086069e-10,"STPG1"
"NBEA",67.3763134221051,-2.64849425767741,0.410334849258487,8.55721865887636e-12,1.97013720674328e-10,"NBEA"
"FLT3LG",1469.50840356138,-2.64450435840284,0.181180631832665,2.94469719047649e-49,1.46730054291172e-46,"FLT3LG"
"STX1B",34.0084598252306,-2.63576964642901,0.421812824251504,3.68956171296628e-11,7.73698873035654e-10,"STX1B"
"ARHGEF34P",51.7284822693968,-2.63317369792195,0.304129220884709,4.25767976656547e-19,2.40823573391033e-17,"ARHGEF34P"
"LOC105370537",5.69367347480577,-2.62660483935391,0.8790122920767,0.000363016864259555,0.00196666242175096,"LOC105370537"
"DNAJC6",20.0119162695886,-2.62531925210182,0.542881846144417,1.27903930692039e-07,1.4920699339593e-06,"DNAJC6"
"GCK",4.49435031830751,-2.62369343984091,1.1457072753103,0.00181010313582845,0.00808922451988422,"GCK"
"KLHL34",4.16458496049002,-2.62224790097881,1.1764941044411,0.00244935061278067,0.0104954974660675,NA
"LOC105370485",4.66627230478164,-2.6219568797467,1.24293896965689,0.00249782699288389,0.0106649511432557,NA
"TTC24",285.573114802969,-2.61797988702109,0.392571510693191,2.45852712920006e-12,6.03897368073929e-11,"TTC24"
"FBLN2",115.069654271463,-2.61531243767289,0.525431265179487,5.10636197486806e-08,6.42223217608406e-07,"FBLN2"
"LOC105369326",53.7000371577534,-2.61254252412112,0.338502274570621,1.14554234202365e-15,4.39888259337083e-14,"LOC105369326"
"CD3E",5279.67843672441,-2.61170876600622,0.788915525723906,5.91726852439878e-05,0.000389982936611547,"CD3E"
"BCL7A",60.1884527659434,-2.61013850052657,0.43182482936751,1.92577496631184e-10,3.64070627777545e-09,"BCL7A"
