Gene,Cytoband,Log2 Ratio,p-Value
PLAAT1,3q29,2.49,6e-49
BCL11A,2p16.1,2.99,1.47e-42
DSC2,18q12.1,1.95,1.86e-41
PSAT1,9q21.2,2.91,4.95e-39
PROM1,4p15.32,3.47,2.09e-38
VGLL1,Xq26.3,2.36,2.19e-38
B3GNT5,3q27.1,2.44,2.3999999999999997e-38
CDCA7,2q31.1,2.0,3.56e-38
LAD1,1q32.1,1.36,8.07e-38
PADI2,1p36.13,1.58,8.46e-38
